"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Vértesacsa";"36,19";"1778,5";"1169,0";"35";"17";"11";"7";
"Vértesboglár";"23,21";"896,0";"621,0";"11";"3";"3";"4";
"Dunaújvárosi járás";"650,05";"88723,5";"57611,0";"2838";"1478";"841";"276";
"Adony";"61,05";"4020,5";"2654,0";"106";"43";"27";"10";
"Baracs";"55,18";"3495,0";"2389,0";"85";"48";"32";"8";
"Beloiannisz";"4,54";"1057,0";"750,0";"20";"11";"10";"6";
"Besnyõ";"44,64";"1764,5";"1181,0";"31";"23";"14";"12";
"Daruszentmiklós";"19,12";"1336,5";"906,0";"46";"24";"15";"20";
"Dunaújváros";"52,67";"42723,0";"26889,0";"1488";"804";"448";"97";
"Elõszállás";"39,98";"2238,0";"1435,0";"77";"35";"21";"18";
"Iváncsa";"25,17";"2826,0";"1869,0";"76";"39";"22";"8";
"Kisapostag";"9,58";"1372,5";"916,0";"38";"21";"10";"1";
"Kulcs";"16,73";"3339,5";"2325,0";"104";"52";"28";"11";
"Mezõfalva";"80,42";"4585,0";"3051,0";"188";"97";"50";"34";
"Nagykarácsony";"30,46";"1266,0";"845,0";"48";"26";"12";"9";
"Nagyvenyim";"43,68";"4101,0";"2650,0";"110";"45";"27";"6";
"Perkáta";"74,52";"3969,5";"2624,0";"153";"84";"48";"20";
"Pusztaszabolcs";"51,67";"5873,5";"3978,0";"144";"77";"42";"16";
"Rácalmás";"40,64";"4756,0";"3149,0";"124";"49";"35";" ";
"Enyingi járás";"433,14";"20114,0";"13516,0";"788";"447";"257";"221";
"Dég";"46,89";"2095,0";"1374,0";"87";"45";"22";"25";
"Enying";"82,78";"6633,5";"4388,0";"305";"184";"110";"37";
"Kisláng";"53,06";"2523,5";"1744,0";"97";"60";"28";"32";
"Lajoskomárom";"75,67";"2111,0";"1388,0";"52";"25";"13";"20";
"Lepsény";"39,08";"2981,0";"2033,0";"103";"62";"34";"10";
"Mátyásdomb";"35,39";"763,5";"544,0";"38";"21";"15";"16";
"Mezõkomárom";"29,05";"885,0";"591,0";"23";"10";"6";"29";
"Mezõszentgyörgy";"27,12";"1282,0";"898,0";"56";"25";"15";"26";
"Szabadhídvég";"44,10";"839,5";"556,0";"27";"15";"14";"26";
"Gárdonyi járás";"306,83";"35183,0";"22774,0";"567";"242";"115";"62";
"Gárdony";"63,53";"12458,5";"8032,0";"234";"96";"45";"17";
"Kápolnásnyék";"41,50";"3991,5";"2570,0";"39";"18";"11";"7";
"Nadap";"6,93";"721,0";"486,0";"12";"6";"1";"1";
"Pákozd";"43,30";"3369,5";"2282,0";"45";"23";"10";"7";
"Pázmánd";"27,15";"2221,0";"1478,0";"31";"9";"2";"7";
"Sukoró";"16,27";"1876,5";"1217,0";"26";"13";"6";"9";
"Szabadegyháza";"41,64";"1952,0";"1302,0";"49";"20";"12";" ";
"Velence";"33,37";"6965,5";"4295,0";"85";"35";"18";"8";
"Vereb";"22,32";"757,5";"514,0";"18";"6";" ";"4";
"Zichyújfalu";"10,82";"870,0";"598,0";"28";"16";"10";"2";
"Martonvásári járás";"277,20";"27177,5";"18388,0";"562";"300";"184";"71";
"Baracska";"39,68";"2766,0";"1871,0";"43";"8";"6";"6";
"Ercsi";"65,31";"8000,0";"5368,0";"293";"196";"127";"33";
"Gyúró";"24,39";"1291,5";"887,0";"13";"4";"2";"2";
"Kajászó";"24,03";"1133,0";"785,0";"20";"10";"7";"6";
"Martonvásár";"31,25";"5794,5";"3817,0";"54";"20";"11";"1";
"Ráckeresztúr";"35,30";"3514,0";"2425,0";"82";"37";"22";"7";
"Tordas";"16,76";"2192,5";"1547,0";"26";"10";"3";"1";
"Vál";"40,48";"2486,0";"1688,0";"31";"15";"6";"15";
"Móri járás";"417,55";"34016,5";"22660,0";"628";"270";"124";"93";
"Bakonycsernye";"38,13";"3025,5";"2027,0";"64";"27";"12";"11";
"Balinka";"18,62";"864,5";"573,0";"13";"7";"3";"2";
"Bodajk";"28,98";"3942,0";"2656,0";"77";"27";"9";"12";
"Csákberény";"41,37";"1133,0";"726,0";"20";"14";"8";"8";
"Csókakõ";"10,92";"1498,5";"956,0";"25";"16";"6";"3";
"Fehérvárcsurgó";"29,64";"2009,0";"1353,0";"36";"16";"5";"4";
"Isztimér";"53,88";"931,0";"632,0";"12";"6";"4";"3";
"Kincsesbánya";"10,87";"1371,5";"952,0";"33";"18";"7";"3";
"Magyaralmás";"22,42";"1615,5";"1051,0";"16";"8";"5";"3";
"Mór";"108,61";"13802,5";"9147,0";"283";"114";"56";"31";
"Nagyveleg";"13,17";"659,0";"439,0";"8";"3";" ";"5";
"Pusztavám";"34,69";"2552,5";"1716,0";"35";"13";"9";"5";
"Söréd";"6,25";"612,0";"432,0";"6";"1";" ";"3";
"Sárbogárdi járás";"653,50";"26801,0";"17688,0";"973";"503";"283";"252";
"Alap";"48,29";"1833,5";"1250,0";"50";"22";"9";"16";
"Alsószentiván";"39,65";"599,0";"398,0";"13";"5";"4";"12";
"Cece";"58,85";"2608,0";"1740,0";"86";"44";"27";"41";
"Hantos";"36,96";"942,5";"629,0";"17";"11";"5";"7";
"Igar";"41,19";"832,5";"578,0";"59";"28";"14";"22";
"Mezõszilas";"64,97";"1977,0";"1182,0";"53";"15";"11";"16";
"Nagylók";"32,44";"1046,5";"695,0";"26";"10";"5";"2";
"Sárbogárd";"189,31";"11693,5";"7706,0";"426";"249";"142";"85";
"Sáregres";"26,16";"739,5";"517,0";"24";"16";"7";"12";
"Sárkeresztúr";"46,75";"2459,5";"1602,0";"106";"50";"30";"27";
"Sárszentágota";"45,50";"1297,0";"891,0";"66";"33";"19";"6";
"Vajta";"23,43";"772,5";"500,0";"47";"20";"10";"6";
